Order ID,Order Date,Ship Date,Region,Segment,Ship Mode,Category,Sub-Category,Quantity,Sales,Discount,Profit
ORD-10040,2025-03-02,2025-03-04,Central,Consumer,Second Class,Office Supplies,Binders,3,236.99,0.1,90.88
ORD-10041,2025-10-04,2025-10-05,West,Consumer,Standard Class,Office Supplies,Paper,2,144.69,0.1,55.84
ORD-10042,2025-09-13,2025-09-15,Central,Home Office,Standard Class,Technology,Monitors,2,1255.27,0.0,312.58
ORD-10043,2025-05-10,2025-05-15,East,Corporate,Second Class,Office Supplies,Art,6,438.5,0.05,144.98
ORD-10044,2025-01-25,2025-01-30,East,Consumer,First Class,Furniture,Tables,5,1132.25,0.15,291.46
ORD-10045,2025-12-21,2025-12-26,South,Consumer,Standard Class,Furniture,Bookcases,3,1198.74,0.15,277.08
ORD-10046,2025-06-12,2025-06-16,West,Consumer,Second Class,Office Supplies,Binders,4,275.07,0.05,90.77
ORD-10047,2025-11-22,2025-11-26,East,Consumer,Standard Class,Office Supplies,Labels,4,376.19,0.0,151.03
ORD-10048,2025-09-05,2025-09-07,East,Consumer,Second Class,Office Supplies,Paper,2,26.02,0.0,9.58
ORD-10049,2025-10-12,2025-10-13,South,Consumer,First Class,Office Supplies,Paper,5,281.65,0.1,107.3
ORD-10050,2025-10-05,2025-10-07,West,Consumer,Second Class,Office Supplies,Binders,7,385.96,0.05,144.54
ORD-10051,2025-03-13,2025-03-16,Central,Home Office,First Class,Furniture,Bookcases,7,2657.96,0.1,882.5
ORD-10052,2025-05-13,2025-05-14,East,Consumer,Standard Class,Technology,Accessories,7,900.18,0.05,262.66
ORD-10053,2025-06-20,2025-06-25,Central,Consumer,Standard Class,Office Supplies,Binders,1,99.21,0.0,39.51
ORD-10054,2025-07-01,2025-07-06,South,Corporate,Second Class,Office Supplies,Art,2,60.41,0.0,23.52
ORD-10055,2025-01-16,2025-01-18,East,Consumer,First Class,Technology,Laptops,1,847.51,0.05,232.62
ORD-10056,2025-07-19,2025-07-21,Central,Consumer,Standard Class,Office Supplies,Labels,7,563.81,0.1,244.15
ORD-10057,2025-02-26,2025-03-01,East,Consumer,Second Class,Office Supplies,Labels,3,235.01,0.15,100.61
ORD-10058,2025-09-29,2025-10-03,West,Consumer,Second Class,Furniture,Storage,2,147.4,0.0,51.48
ORD-10059,2025-09-07,2025-09-12,Central,Consumer,Standard Class,Technology,Accessories,6,772.67,0.0,252.14
ORD-10060,2025-12-03,2025-12-06,East,Consumer,Standard Class,Technology,Monitors,1,180.93,0.05,58.62
ORD-10061,2025-09-29,2025-10-04,South,Consumer,First Class,Technology,Phones,1,145.68,0.1,49.5
ORD-10062,2025-05-14,2025-05-19,Central,Corporate,Same Day,Office Supplies,Labels,6,202.81,0.2,73.42
ORD-10063,2025-12-20,2025-12-25,Central,Consumer,Standard Class,Technology,Monitors,3,1176.6,0.0,295.88
ORD-10064,2025-05-30,2025-06-03,Central,Corporate,Standard Class,Technology,Monitors,1,332.09,0.2,123.0
ORD-10065,2025-04-29,2025-05-03,West,Corporate,Standard Class,Technology,Phones,3,1523.63,0.05,305.85
ORD-10066,2025-11-27,2025-11-28,West,Consumer,Second Class,Technology,Accessories,6,3357.8,0.2,864.25
ORD-10067,2025-05-16,2025-05-19,Central,Consumer,First Class,Technology,Accessories,7,527.86,0.1,153.56
ORD-10068,2025-01-28,2025-01-29,West,Consumer,Standard Class,Office Supplies,Binders,6,604.53,0.05,219.28
ORD-10069,2025-06-21,2025-06-26,Central,Consumer,Standard Class,Technology,Phones,2,1566.24,0.1,434.36
ORD-10070,2025-10-18,2025-10-19,Central,Consumer,Second Class,Furniture,Chairs,1,332.19,0.05,112.07
ORD-10071,2025-03-11,2025-03-16,Central,Consumer,Standard Class,Office Supplies,Binders,6,314.94,0.1,134.8
ORD-10072,2025-06-18,2025-06-19,South,Consumer,Standard Class,Office Supplies,Binders,3,63.17,0.0,28.43
ORD-10073,2025-02-17,2025-02-18,West,Home Office,Same Day,Office Supplies,Binders,2,148.08,0.05,56.76
ORD-10074,2025-09-08,2025-09-12,Central,Home Office,Standard Class,Technology,Laptops,4,2635.01,0.0,663.72
ORD-10075,2025-06-23,2025-06-26,East,Home Office,Standard Class,Technology,Monitors,6,4736.19,0.05,1109.14
ORD-10076,2025-05-01,2025-05-05,East,Consumer,Same Day,Office Supplies,Paper,3,220.33,0.15,76.79
ORD-10077,2025-03-24,2025-03-27,East,Corporate,Standard Class,Office Supplies,Labels,3,232.35,0.1,94.3
ORD-10078,2025-07-26,2025-07-28,West,Consumer,Standard Class,Furniture,Tables,3,722.24,0.1,260.74
ORD-10079,2025-09-02,2025-09-07,Central,Consumer,Standard Class,Technology,Laptops,5,4406.49,0.0,1342.14
ORD-10080,2025-12-10,2025-12-11,Central,Corporate,Second Class,Technology,Laptops,4,834.81,0.15,181.11
ORD-10081,2025-06-09,2025-06-11,East,Consumer,Same Day,Technology,Phones,6,4058.59,0.05,1099.61
ORD-10082,2025-02-28,2025-03-01,East,Corporate,Standard Class,Office Supplies,Binders,4,62.43,0.1,23.61
ORD-10083,2025-10-31,2025-11-03,Central,Consumer,Standard Class,Furniture,Bookcases,7,2157.17,0.1,659.01
ORD-10084,2025-08-18,2025-08-19,Central,Consumer,Standard Class,Office Supplies,Binders,4,360.63,0.05,142.71
ORD-10085,2025-09-13,2025-09-18,West,Corporate,Second Class,Office Supplies,Labels,7,619.88,0.1,290.11
ORD-10086,2025-02-05,2025-02-06,South,Consumer,Standard Class,Furniture,Bookcases,2,800.1,0.05,172.18
ORD-10087,2025-04-25,2025-04-30,East,Consumer,Standard Class,Technology,Monitors,2,1336.93,0.05,466.12
ORD-10088,2025-10-08,2025-10-09,West,Consumer,Second Class,Technology,Phones,2,1118.81,0.15,392.7
ORD-10089,2025-10-31,2025-11-01,Central,Consumer,Standard Class,Furniture,Storage,2,407.92,0.15,62.85
ORD-10090,2025-06-08,2025-06-09,West,Consumer,Standard Class,Technology,Phones,1,246.17,0.1,75.72
ORD-10091,2025-10-21,2025-10-25,South,Home Office,First Class,Office Supplies,Labels,4,24.54,0.1,8.81
ORD-10092,2025-11-04,2025-11-05,South,Home Office,Standard Class,Furniture,Tables,4,1422.18,0.2,243.09
ORD-10093,2025-05-22,2025-05-27,West,Consumer,Second Class,Technology,Monitors,5,1813.03,0.0,675.69
ORD-10094,2025-11-24,2025-11-28,West,Home Office,Second Class,Technology,Accessories,7,1578.55,0.05,491.86
ORD-10095,2025-04-16,2025-04-21,Central,Consumer,Standard Class,Office Supplies,Binders,3,156.01,0.05,62.56
ORD-10096,2025-03-29,2025-04-02,Central,Consumer,Standard Class,Office Supplies,Art,3,28.33,0.0,11.27
ORD-10097,2025-09-07,2025-09-08,West,Corporate,Standard Class,Technology,Monitors,2,408.52,0.15,122.66
ORD-10098,2025-08-21,2025-08-22,West,Consumer,First Class,Office Supplies,Binders,7,642.43,0.0,218.33
ORD-10099,2025-02-21,2025-02-26,West,Consumer,First Class,Technology,Laptops,2,1402.64,0.05,402.72
ORD-10100,2025-10-31,2025-11-02,East,Home Office,Standard Class,Office Supplies,Art,3,200.21,0.15,66.31
ORD-10101,2025-03-14,2025-03-19,Central,Consumer,Standard Class,Office Supplies,Labels,7,646.77,0.0,243.09
ORD-10102,2025-10-21,2025-10-26,West,Home Office,Standard Class,Office Supplies,Binders,6,519.7,0.05,193.26
ORD-10103,2025-01-03,2025-01-07,West,Corporate,Standard Class,Furniture,Chairs,6,895.48,0.1,309.03
ORD-10104,2025-10-18,2025-10-20,Central,Corporate,First Class,Technology,Phones,6,4789.97,0.1,1055.86
ORD-10105,2025-10-15,2025-10-17,Central,Consumer,First Class,Furniture,Chairs,5,2085.05,0.15,584.91
ORD-10106,2025-10-12,2025-10-17,Central,Consumer,Standard Class,Furniture,Tables,5,1636.98,0.0,471.43
ORD-10107,2025-08-31,2025-09-04,West,Home Office,Standard Class,Technology,Monitors,3,698.98,0.2,248.94
ORD-10108,2025-06-22,2025-06-23,West,Consumer,Standard Class,Furniture,Tables,6,2050.75,0.15,460.07
ORD-10109,2025-09-15,2025-09-20,South,Consumer,First Class,Furniture,Tables,6,1608.44,0.2,353.16
ORD-10110,2025-04-12,2025-04-15,East,Consumer,Standard Class,Office Supplies,Labels,3,356.49,0.0,137.29
ORD-10111,2025-10-12,2025-10-16,Central,Corporate,First Class,Furniture,Storage,3,1149.98,0.05,446.67
ORD-10112,2025-07-22,2025-07-27,West,Consumer,Standard Class,Technology,Phones,6,3929.54,0.15,1262.19
ORD-10113,2025-06-17,2025-06-19,East,Corporate,First Class,Technology,Monitors,1,491.8,0.1,81.94
ORD-10114,2025-07-04,2025-07-06,South,Corporate,Second Class,Office Supplies,Labels,1,52.04,0.0,18.1
ORD-10115,2025-07-27,2025-07-31,East,Home Office,Standard Class,Office Supplies,Paper,1,61.01,0.2,27.45
ORD-10116,2025-01-14,2025-01-17,South,Consumer,Standard Class,Furniture,Bookcases,5,2295.27,0.1,607.19
ORD-10117,2025-02-21,2025-02-24,East,Consumer,Standard Class,Technology,Phones,5,3198.51,0.1,919.26
ORD-10118,2025-03-31,2025-04-01,South,Consumer,Second Class,Office Supplies,Labels,2,50.44,0.2,19.67
ORD-10119,2025-02-11,2025-02-13,Central,Consumer,Standard Class,Office Supplies,Labels,3,286.21,0.2,104.7
ORD-10120,2025-06-10,2025-06-15,Central,Consumer,Standard Class,Office Supplies,Art,7,311.24,0.2,135.02
ORD-10121,2025-09-01,2025-09-04,West,Consumer,Standard Class,Office Supplies,Labels,1,44.16,0.15,19.98
ORD-10122,2025-08-27,2025-08-28,East,Home Office,Standard Class,Technology,Accessories,1,266.85,0.0,65.89
ORD-10123,2025-06-21,2025-06-24,West,Consumer,Standard Class,Office Supplies,Binders,7,144.09,0.1,53.53
ORD-10124,2025-11-09,2025-11-14,Central,Home Office,Standard Class,Furniture,Tables,1,500.99,0.0,138.48
ORD-10125,2025-07-26,2025-07-28,South,Home Office,Standard Class,Office Supplies,Art,4,123.23,0.0,39.3
ORD-10126,2025-01-29,2025-02-02,West,Corporate,Second Class,Office Supplies,Paper,1,86.85,0.0,38.76
ORD-10127,2025-10-07,2025-10-10,East,Consumer,Standard Class,Technology,Accessories,2,449.73,0.0,112.37
ORD-10128,2025-07-29,2025-07-30,Central,Consumer,Second Class,Technology,Phones,7,5516.06,0.1,1392.29
ORD-10129,2025-08-20,2025-08-21,South,Consumer,Second Class,Furniture,Storage,4,266.08,0.15,49.09
ORD-10130,2025-07-26,2025-07-27,Central,Corporate,Standard Class,Furniture,Bookcases,3,364.77,0.2,65.19
ORD-10131,2025-07-22,2025-07-26,West,Home Office,Standard Class,Office Supplies,Binders,5,338.75,0.2,144.08
ORD-10132,2025-02-03,2025-02-05,West,Consumer,Standard Class,Technology,Accessories,5,2966.89,0.15,830.74
ORD-10133,2025-07-24,2025-07-29,Central,Corporate,Standard Class,Furniture,Storage,3,303.04,0.1,89.62
ORD-10134,2025-10-18,2025-10-22,West,Consumer,Standard Class,Technology,Phones,1,293.84,0.05,73.8
ORD-10135,2025-04-21,2025-04-26,West,Consumer,Standard Class,Technology,Laptops,6,2338.96,0.0,656.98
ORD-10136,2025-08-09,2025-08-12,East,Corporate,Same Day,Furniture,Storage,3,988.1,0.05,301.18
ORD-10137,2025-01-12,2025-01-15,Central,Consumer,Standard Class,Office Supplies,Art,7,830.06,0.0,369.83
ORD-10138,2025-05-07,2025-05-08,West,Home Office,Standard Class,Office Supplies,Art,3,324.11,0.05,131.93
ORD-10139,2025-06-09,2025-06-11,Central,Corporate,Same Day,Furniture,Chairs,7,3181.1,0.05,1431.49
ORD-10140,2025-12-25,2025-12-28,Central,Consumer,Standard Class,Furniture,Tables,4,863.41,0.1,233.27
ORD-10141,2025-03-20,2025-03-23,West,Consumer,Second Class,Technology,Accessories,4,1505.06,0.0,430.27
ORD-10142,2025-04-11,2025-04-12,West,Consumer,Standard Class,Furniture,Bookcases,1,85.35,0.2,25.51
ORD-10143,2025-05-30,2025-06-02,Central,Consumer,Standard Class,Office Supplies,Art,1,75.51,0.0,27.45
ORD-10144,2025-12-29,2026-01-03,East,Consumer,Standard Class,Technology,Phones,1,101.56,0.05,28.16
ORD-10145,2025-11-08,2025-11-12,East,Consumer,Standard Class,Technology,Phones,3,2409.65,0.1,750.53
ORD-10146,2025-01-13,2025-01-18,Central,Home Office,Standard Class,Office Supplies,Binders,6,194.27,0.2,87.42
ORD-10147,2025-03-27,2025-03-31,East,Corporate,Standard Class,Office Supplies,Labels,5,517.69,0.0,196.43
ORD-10148,2025-10-27,2025-10-31,West,Consumer,Standard Class,Furniture,Storage,1,390.8,0.2,80.05
ORD-10149,2025-01-22,2025-01-23,West,Consumer,Standard Class,Furniture,Tables,1,279.27,0.15,64.06
ORD-10150,2025-11-09,2025-11-10,Central,Home Office,Standard Class,Office Supplies,Binders,6,535.12,0.1,211.24
ORD-10151,2025-04-13,2025-04-16,South,Corporate,Standard Class,Technology,Monitors,3,2134.76,0.05,519.65
ORD-10152,2025-12-01,2025-12-05,Central,Consumer,Standard Class,Technology,Phones,7,3933.02,0.0,1286.88
ORD-10153,2025-04-18,2025-04-19,Central,Consumer,First Class,Furniture,Storage,7,3418.85,0.05,1239.47
ORD-10154,2025-06-08,2025-06-11,East,Home Office,Standard Class,Furniture,Bookcases,3,200.47,0.1,42.89
ORD-10155,2025-08-30,2025-08-31,Central,Corporate,First Class,Technology,Accessories,4,1301.62,0.05,425.05
ORD-10156,2025-02-16,2025-02-17,West,Consumer,Standard Class,Furniture,Bookcases,2,428.33,0.1,146.48
ORD-10157,2025-07-23,2025-07-27,Central,Corporate,First Class,Furniture,Tables,7,1449.51,0.2,259.16
ORD-10158,2025-07-04,2025-07-07,East,Corporate,Standard Class,Technology,Phones,4,2423.57,0.1,668.18
ORD-10159,2025-10-14,2025-10-19,East,Corporate,Standard Class,Office Supplies,Labels,2,50.6,0.05,15.73
ORD-10160,2025-12-30,2026-01-03,Central,Corporate,Standard Class,Technology,Accessories,1,287.73,0.1,67.0
ORD-10161,2025-08-31,2025-09-04,South,Consumer,Standard Class,Technology,Phones,7,5405.88,0.1,1234.22
ORD-10162,2025-05-30,2025-05-31,West,Corporate,First Class,Technology,Monitors,4,3583.63,0.0,954.55
ORD-10163,2025-05-29,2025-05-30,South,Consumer,First Class,Technology,Phones,6,769.06,0.05,333.15
ORD-10164,2025-06-02,2025-06-04,South,Consumer,Second Class,Technology,Laptops,2,738.95,0.05,193.49
ORD-10165,2025-10-25,2025-10-26,South,Consumer,Standard Class,Furniture,Storage,5,934.55,0.0,178.85
ORD-10166,2025-04-28,2025-04-29,East,Consumer,First Class,Office Supplies,Binders,1,45.92,0.15,13.47
ORD-10167,2025-03-02,2025-03-05,East,Home Office,Standard Class,Office Supplies,Art,3,238.83,0.05,88.31
ORD-10168,2025-05-03,2025-05-06,West,Consumer,Standard Class,Furniture,Tables,4,768.99,0.15,138.0
ORD-10169,2025-01-09,2025-01-10,Central,Consumer,Standard Class,Office Supplies,Binders,4,474.11,0.0,160.02
ORD-10170,2025-02-08,2025-02-10,South,Consumer,Standard Class,Technology,Monitors,5,2840.28,0.0,581.97
ORD-10171,2025-02-02,2025-02-07,Central,Corporate,First Class,Furniture,Bookcases,3,921.97,0.05,222.59
ORD-10172,2025-10-09,2025-10-13,West,Corporate,Standard Class,Office Supplies,Labels,7,459.75,0.0,167.62
ORD-10173,2025-09-21,2025-09-25,South,Consumer,First Class,Technology,Laptops,7,810.8,0.15,238.12
ORD-10174,2025-09-12,2025-09-15,West,Corporate,Same Day,Office Supplies,Labels,5,234.9,0.15,109.93
ORD-10175,2025-06-18,2025-06-19,West,Consumer,Second Class,Technology,Laptops,1,370.36,0.1,88.97
ORD-10176,2025-09-19,2025-09-21,South,Corporate,Second Class,Office Supplies,Paper,6,334.82,0.15,139.55
ORD-10177,2025-02-28,2025-03-03,East,Corporate,First Class,Furniture,Chairs,3,542.34,0.15,156.81
ORD-10178,2025-11-25,2025-11-27,East,Consumer,Standard Class,Furniture,Tables,3,1564.54,0.0,619.73
ORD-10179,2025-07-02,2025-07-03,West,Corporate,First Class,Office Supplies,Paper,5,256.23,0.0,105.65
ORD-10180,2025-12-09,2025-12-13,South,Consumer,First Class,Office Supplies,Art,4,267.35,0.2,93.32
ORD-10181,2025-02-25,2025-03-01,Central,Home Office,Standard Class,Technology,Phones,6,2755.99,0.0,945.22
ORD-10182,2025-07-01,2025-07-04,East,Corporate,Standard Class,Office Supplies,Paper,2,85.2,0.1,35.19
ORD-10183,2025-09-12,2025-09-16,Central,Home Office,Second Class,Office Supplies,Binders,4,22.07,0.2,9.58
ORD-10184,2025-06-30,2025-07-01,East,Corporate,Standard Class,Office Supplies,Binders,3,91.07,0.1,35.53
ORD-10185,2025-06-12,2025-06-15,West,Consumer,Standard Class,Technology,Monitors,2,1094.16,0.1,287.15
ORD-10186,2025-03-02,2025-03-06,East,Corporate,Second Class,Technology,Phones,4,2630.82,0.05,815.75
ORD-10187,2025-05-20,2025-05-24,Central,Consumer,Second Class,Office Supplies,Binders,5,343.31,0.1,103.3
ORD-10188,2025-03-29,2025-03-31,East,Home Office,Standard Class,Technology,Laptops,7,1593.31,0.05,489.3
ORD-10189,2025-04-21,2025-04-22,South,Home Office,Second Class,Furniture,Tables,7,3363.52,0.05,970.17
ORD-10190,2025-09-07,2025-09-08,South,Consumer,Second Class,Office Supplies,Paper,3,226.9,0.0,82.82
ORD-10191,2025-08-19,2025-08-21,Central,Consumer,First Class,Office Supplies,Paper,1,88.4,0.15,32.89
ORD-10192,2025-08-10,2025-08-15,East,Home Office,Second Class,Office Supplies,Labels,7,295.26,0.05,81.6
ORD-10193,2025-05-13,2025-05-16,Central,Corporate,Standard Class,Furniture,Chairs,2,293.46,0.0,79.7
ORD-10194,2025-12-17,2025-12-18,Central,Consumer,First Class,Office Supplies,Labels,5,346.06,0.15,97.61
ORD-10195,2025-02-01,2025-02-03,South,Consumer,First Class,Office Supplies,Paper,2,52.64,0.15,20.76
ORD-10196,2025-05-06,2025-05-08,West,Home Office,First Class,Furniture,Bookcases,2,599.69,0.1,218.38
ORD-10197,2025-02-13,2025-02-18,South,Corporate,Standard Class,Furniture,Tables,6,1091.93,0.15,236.51
ORD-10198,2025-05-04,2025-05-06,South,Consumer,Second Class,Furniture,Bookcases,2,571.3,0.05,182.66
ORD-10199,2025-12-18,2025-12-20,East,Home Office,Standard Class,Office Supplies,Labels,7,440.66,0.05,193.22
ORD-10200,2025-05-14,2025-05-15,Central,Consumer,Standard Class,Office Supplies,Binders,4,133.74,0.0,51.07
ORD-10201,2025-11-28,2025-12-01,West,Home Office,Standard Class,Technology,Monitors,3,1425.22,0.05,440.77
ORD-10202,2025-06-30,2025-07-03,East,Consumer,First Class,Office Supplies,Labels,6,392.33,0.05,162.12
ORD-10203,2025-09-13,2025-09-14,West,Corporate,Second Class,Technology,Phones,7,5136.56,0.05,1680.1
ORD-10204,2025-06-16,2025-06-21,West,Consumer,Standard Class,Technology,Monitors,2,1077.9,0.2,334.38
ORD-10205,2025-04-08,2025-04-13,South,Corporate,Second Class,Office Supplies,Labels,6,64.0,0.2,24.29
ORD-10206,2025-10-06,2025-10-09,Central,Consumer,First Class,Office Supplies,Binders,6,522.81,0.05,207.59
ORD-10207,2025-12-20,2025-12-24,East,Consumer,Standard Class,Technology,Accessories,1,331.34,0.1,98.92
ORD-10208,2025-04-07,2025-04-10,Central,Consumer,Second Class,Office Supplies,Paper,3,193.49,0.1,79.36
ORD-10209,2025-10-12,2025-10-15,Central,Consumer,Standard Class,Office Supplies,Art,4,145.55,0.15,49.15
ORD-10210,2025-04-06,2025-04-07,Central,Corporate,Standard Class,Technology,Laptops,1,92.88,0.1,31.57
ORD-10211,2025-09-19,2025-09-24,South,Consumer,Same Day,Technology,Monitors,7,4081.95,0.15,1514.68
ORD-10212,2025-10-15,2025-10-16,West,Home Office,Second Class,Technology,Monitors,4,2308.11,0.05,605.4
ORD-10213,2025-06-14,2025-06-17,West,Consumer,Standard Class,Furniture,Storage,3,207.33,0.05,69.61
ORD-10214,2025-09-26,2025-09-30,West,Corporate,Same Day,Furniture,Tables,6,1404.85,0.1,426.6
ORD-10215,2025-04-10,2025-04-13,East,Consumer,Standard Class,Technology,Accessories,6,2898.1,0.1,1089.04
ORD-10216,2025-01-29,2025-01-31,East,Consumer,Standard Class,Technology,Phones,2,818.14,0.0,288.9
ORD-10217,2025-02-05,2025-02-10,West,Consumer,Standard Class,Technology,Accessories,4,540.2,0.2,103.25
ORD-10218,2025-06-13,2025-06-16,East,Home Office,Standard Class,Furniture,Bookcases,7,1423.76,0.2,307.43
ORD-10219,2025-11-26,2025-12-01,South,Home Office,Standard Class,Furniture,Storage,3,1077.95,0.1,302.57
ORD-10220,2025-02-16,2025-02-20,West,Home Office,Standard Class,Furniture,Tables,2,1099.38,0.0,385.29
ORD-10221,2025-06-16,2025-06-20,South,Corporate,Standard Class,Furniture,Chairs,3,350.15,0.2,71.42
ORD-10222,2025-09-14,2025-09-18,East,Consumer,Standard Class,Furniture,Bookcases,3,460.4,0.0,138.2
ORD-10223,2025-03-15,2025-03-16,Central,Home Office,First Class,Technology,Phones,7,4516.37,0.1,1449.2
ORD-10224,2025-09-21,2025-09-23,West,Home Office,First Class,Technology,Accessories,1,831.47,0.05,279.43
ORD-10225,2025-04-22,2025-04-26,South,Consumer,Standard Class,Technology,Phones,2,314.69,0.15,79.56
ORD-10226,2025-10-23,2025-10-28,Central,Corporate,Standard Class,Office Supplies,Binders,6,75.78,0.0,26.1
ORD-10227,2025-07-31,2025-08-02,South,Corporate,First Class,Technology,Accessories,1,477.13,0.1,151.4
ORD-10228,2025-07-19,2025-07-21,Central,Corporate,Standard Class,Office Supplies,Labels,1,84.65,0.1,26.06
ORD-10229,2025-03-06,2025-03-10,West,Home Office,Second Class,Office Supplies,Binders,4,456.15,0.0,167.11
ORD-10230,2025-06-19,2025-06-23,South,Consumer,Second Class,Technology,Phones,3,860.9,0.15,295.68
ORD-10231,2025-11-09,2025-11-14,East,Consumer,Standard Class,Office Supplies,Paper,2,11.15,0.0,4.38
ORD-10232,2025-01-08,2025-01-10,South,Consumer,Second Class,Furniture,Chairs,7,1540.56,0.2,221.09
ORD-10233,2025-10-04,2025-10-07,South,Corporate,Second Class,Technology,Monitors,7,3898.39,0.05,821.84
ORD-10234,2025-06-29,2025-07-02,Central,Consumer,Standard Class,Furniture,Chairs,2,252.3,0.05,84.95
ORD-10235,2025-09-20,2025-09-22,South,Home Office,First Class,Office Supplies,Labels,5,178.7,0.0,48.61
ORD-10236,2025-08-31,2025-09-01,South,Consumer,Standard Class,Office Supplies,Paper,6,564.54,0.15,235.17
ORD-10237,2025-06-07,2025-06-09,West,Consumer,Standard Class,Office Supplies,Labels,3,343.86,0.0,154.5
ORD-10238,2025-04-23,2025-04-26,South,Consumer,Second Class,Office Supplies,Paper,5,188.6,0.05,81.43
ORD-10239,2025-08-17,2025-08-19,South,Consumer,Second Class,Furniture,Bookcases,6,699.46,0.05,174.04
